financing_scheme,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024_[note_10]
Total current healthcare expenditure,123029.0,129413.0,135726.0,142609.0,152173.0,163829.0,173115.0,183298.0,189716.0,197894.0,208433.0,214441.0,222788.0,226548.0,229325.0,235177.0,241793.0,249214.0,253719.0,256694.0,258963.0,265099.0,274570.0,298641.0,323598.0,311685.0,309914.0,317411
Government-financed expenditure ,91095.0,96458.0,102788.0,107522.0,114861.0,125143.0,134808.0,146133.0,153348.0,162138.0,166790.0,173382.0,183442.0,184872.0,186479.0,189297.0,190792.0,196907.0,200258.0,203915.0,204318.0,208654.0,217006.0,249381.0,269235.0,254083.0,251716.0,258060
Voluntary health insurance schemes ,4637.0,4795.0,5061.0,6066.0,6744.0,6929.0,6911.0,6976.0,7510.0,7763.0,8002.0,8530.0,8161.0,8042.0,8127.0,8209.0,8228.0,8376.0,8182.0,7108.0,7632.0,7705.0,7795.0,7040.0,7180.0,7845.0,8032.0,8344
Non-profit institutions serving households financing schemes ,1357.0,1490.0,1626.0,1808.0,1923.0,2117.0,2357.0,2313.0,2445.0,2626.0,2593.0,2708.0,2692.0,2899.0,3202.0,3445.0,3789.0,3832.0,4176.0,4612.0,5225.0,5058.0,4949.0,4599.0,4531.0,4445.0,4332.0,4308
Enterprise financing schemes ,1342.0,1392.0,1184.0,1233.0,1183.0,1153.0,1076.0,936.0,934.0,927.0,981.0,906.0,876.0,891.0,914.0,913.0,879.0,864.0,850.0,810.0,798.0,792.0,788.0,560.0,511.0,488.0,495.0,498
Out-of-pocket expenditure ,24599.0,25278.0,25067.0,25979.0,27463.0,28487.0,27963.0,26940.0,25479.0,24440.0,30067.0,28915.0,27616.0,29845.0,30603.0,33313.0,38105.0,39236.0,40254.0,40249.0,40990.0,42889.0,44032.0,37061.0,42142.0,44824.0,45338.0,46200
nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Current healthcare expenditure excludes expenditure on capital outlay, but includes consumption of fixed capital.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Financing scheme (HF) refers to the method of financing of healthcare. For more information on the definitions of each financing scheme, see:",,,,,,,,,,,,,,,,,,,,,,,,,,,,
An introduction to health accounts,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"All figures are provided in real terms (2024 prices), adjusted for inflation. The GDP deflator ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
The International Classification of Health Accounts (ICHA) codes are internationally recognised individual identifiers for healthcare expenditure. For further details on ICHA codes see:,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.oecd.org/els/health-systems/a-system-of-health-accounts-2011-9789264270985-en.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Government financing covers healthcare spending by the NHS, local authorities and other government bodies involved in the provision of healthcare. Figures are reported net of client contributions and grants to charities.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Voluntary health insurance schemes include: private medical insurance, employer self-insurance schemes, health cash plans, dental insurance and capitation plans and the health component of travel insurance.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Non-profit institutions serving households (NPISH) schemes cover charity expenditure funded through voluntary donations, grants and investment income, excluding charity expenditure funded through client contributions and purchases of care.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enterprise financing covers healthcare activity financed by organisations (primarily employers) outside of an insurance scheme.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Out-of-pocket spending covers consumer expenditure on healthcare goods and services, outside of health insurance schemes.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2024 estimates are provisional, based on early indicators and may be subject to substantial revisions one year after release, when the full set of health accounts data are incorporated.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figures may not sum due to rounding.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
