year,country,health_status,sex,count,population,age_standardised_percentage,lower_95pct_confidence_interval,upper_95pct_confidence_interval
2021,England,Very good,Female,13653975,28833720,47.1,47.1,47.2
2021,England,Very good,Male,13736855,27656330,47.9,47.9,48.0
2021,England,Good,Female,9769630,28833720,34.2,34.1,34.2
2021,England,Good,Male,9271115,27656330,34.2,34.1,34.2
2021,England,Fair,Female,3807185,28833720,13.2,13.2,13.2
2021,England,Fair,Male,3340165,27656330,12.8,12.8,12.8
2021,England,Bad,Female,1247135,28833720,4.3,4.3,4.3
2021,England,Bad,Male,1001120,27656330,3.9,3.9,3.9
2021,England,Very bad,Female,355780,28833720,1.2,1.2,1.2
2021,England,Very bad,Male,307100,27656330,1.2,1.2,1.2
2021,Wales,Very good,Female,713660,1586490,46.1,46.0,46.3
2021,Wales,Very good,Male,722815,1521020,47.2,47.0,47.3
2021,Wales,Good,Female,515060,1586490,32.5,32.4,32.6
2021,Wales,Good,Male,490420,1521020,32.6,32.5,32.6
2021,Wales,Fair,Female,239630,1586490,14.3,14.3,14.4
2021,Wales,Fair,Male,210040,1521020,13.8,13.8,13.9
2021,Wales,Bad,Female,90470,1586490,5.4,5.4,5.4
2021,Wales,Bad,Male,73635,1521020,4.9,4.8,4.9
2021,Wales,Very bad,Female,27695,1586490,1.6,1.6,1.7
2021,Wales,Very bad,Male,24070,1521020,1.6,1.6,1.6
2011,England,Very good,Female,12312585,26943300,44.5,44.4,44.5
2011,England,Very good,Male,12693140,26069160,45.5,45.5,45.5
2011,England,Good,Female,9315850,26943300,35.1,35.1,35.1
2011,England,Good,Male,8825600,26069160,34.6,34.5,34.6
2011,England,Fair,Female,3761720,26943300,14.5,14.5,14.5
2011,England,Fair,Male,3192385,26069160,13.9,13.9,14.0
2011,England,Bad,Female,1205085,26943300,4.6,4.6,4.6
2011,England,Bad,Male,1045355,26069160,4.6,4.6,4.6
2011,England,Very bad,Female,348060,26943300,1.3,1.3,1.3
2011,England,Very bad,Male,312695,26069160,1.4,1.4,1.4
2011,Wales,Very good,Female,701375,1559240,45.1,45.0,45.2
2011,Wales,Very good,Male,727330,1504235,46.3,46.2,46.4
2011,Wales,Good,Female,490865,1559240,31.8,31.7,31.9
2011,Wales,Good,Male,462505,1504235,31.2,31.1,31.3
2011,Wales,Fair,Female,243605,1559240,15.4,15.3,15.5
2011,Wales,Fair,Male,204195,1504235,14.6,14.5,14.7
2011,Wales,Bad,Female,94455,1559240,6.0,5.9,6.0
2011,Wales,Bad,Male,83775,1504235,6.0,6.0,6.0
2011,Wales,Very bad,Female,28940,1559240,1.8,1.8,1.8
2011,Wales,Very bad,Male,26440,1504235,1.9,1.9,1.9
